,support,itemsets
2,1.0,frozenset({'nox-Zelo nizka'})
6,1.0,frozenset({'pm25-Zelo dobra'})
21,1.0,"frozenset({'nox-Zelo nizka', 'pm25-Zelo dobra'})"
16,0.9909985935302391,"frozenset({'no2-Zelo dobra', 'pm25-Zelo dobra'})"
39,0.9909985935302391,"frozenset({'no2-Zelo dobra', 'nox-Zelo nizka', 'pm25-Zelo dobra'})"
1,0.9909985935302391,frozenset({'no2-Zelo dobra'})
12,0.9909985935302391,"frozenset({'nox-Zelo nizka', 'no2-Zelo dobra'})"
7,0.9627566807313642,frozenset({'pm4-Zelo dobra'})
29,0.9627566807313642,"frozenset({'pm4-Zelo dobra', 'pm25-Zelo dobra'})"
22,0.9627566807313642,"frozenset({'pm4-Zelo dobra', 'nox-Zelo nizka'})"
54,0.9627566807313642,"frozenset({'pm4-Zelo dobra', 'nox-Zelo nizka', 'pm25-Zelo dobra'})"
40,0.9574683544303797,"frozenset({'pm4-Zelo dobra', 'nox-Zelo nizka', 'no2-Zelo dobra'})"
47,0.9574683544303797,"frozenset({'pm4-Zelo dobra', 'no2-Zelo dobra', 'pm25-Zelo dobra'})"
69,0.9574683544303797,"frozenset({'pm4-Zelo dobra', 'no2-Zelo dobra', 'nox-Zelo nizka', 'pm25-Zelo dobra'})"
17,0.9574683544303797,"frozenset({'pm4-Zelo dobra', 'no2-Zelo dobra'})"
27,0.8754992967651195,"frozenset({'pm25-Zelo dobra', 'pm10-Zelo dobra'})"
20,0.8754992967651195,"frozenset({'nox-Zelo nizka', 'pm10-Zelo dobra'})"
52,0.8754992967651195,"frozenset({'pm25-Zelo dobra', 'nox-Zelo nizka', 'pm10-Zelo dobra'})"
5,0.8754992967651195,frozenset({'pm10-Zelo dobra'})
15,0.8736427566807313,"frozenset({'no2-Zelo dobra', 'pm10-Zelo dobra'})"
38,0.8736427566807313,"frozenset({'no2-Zelo dobra', 'nox-Zelo nizka', 'pm10-Zelo dobra'})"
45,0.8736427566807313,"frozenset({'no2-Zelo dobra', 'pm25-Zelo dobra', 'pm10-Zelo dobra'})"
67,0.8736427566807313,"frozenset({'no2-Zelo dobra', 'pm25-Zelo dobra', 'nox-Zelo nizka', 'pm10-Zelo dobra'})"
28,0.8709423347398031,"frozenset({'pm4-Zelo dobra', 'pm10-Zelo dobra'})"
58,0.8709423347398031,"frozenset({'pm4-Zelo dobra', 'pm25-Zelo dobra', 'pm10-Zelo dobra'})"
77,0.8709423347398031,"frozenset({'pm4-Zelo dobra', 'pm25-Zelo dobra', 'nox-Zelo nizka', 'pm10-Zelo dobra'})"
53,0.8709423347398031,"frozenset({'pm4-Zelo dobra', 'nox-Zelo nizka', 'pm10-Zelo dobra'})"
83,0.8690857946554149,"frozenset({'pm10-Zelo dobra', 'pm4-Zelo dobra', 'no2-Zelo dobra', 'nox-Zelo nizka', 'pm25-Zelo dobra'})"
46,0.8690857946554149,"frozenset({'pm4-Zelo dobra', 'no2-Zelo dobra', 'pm10-Zelo dobra'})"
73,0.8690857946554149,"frozenset({'no2-Zelo dobra', 'pm4-Zelo dobra', 'pm25-Zelo dobra', 'pm10-Zelo dobra'})"
68,0.8690857946554149,"frozenset({'pm4-Zelo dobra', 'no2-Zelo dobra', 'nox-Zelo nizka', 'pm10-Zelo dobra'})"
25,0.8513080168776371,"frozenset({'pm1-Zelo dobra', 'pm25-Zelo dobra'})"
26,0.8513080168776371,"frozenset({'pm4-Zelo dobra', 'pm1-Zelo dobra'})"
50,0.8513080168776371,"frozenset({'nox-Zelo nizka', 'pm1-Zelo dobra', 'pm25-Zelo dobra'})"
51,0.8513080168776371,"frozenset({'pm4-Zelo dobra', 'nox-Zelo nizka', 'pm1-Zelo dobra'})"
57,0.8513080168776371,"frozenset({'pm4-Zelo dobra', 'pm1-Zelo dobra', 'pm25-Zelo dobra'})"
4,0.8513080168776371,frozenset({'pm1-Zelo dobra'})
19,0.8513080168776371,"frozenset({'nox-Zelo nizka', 'pm1-Zelo dobra'})"
76,0.8513080168776371,"frozenset({'pm4-Zelo dobra', 'nox-Zelo nizka', 'pm1-Zelo dobra', 'pm25-Zelo dobra'})"
44,0.8485513361462729,"frozenset({'pm4-Zelo dobra', 'pm1-Zelo dobra', 'no2-Zelo dobra'})"
66,0.8485513361462729,"frozenset({'pm4-Zelo dobra', 'nox-Zelo nizka', 'pm1-Zelo dobra', 'no2-Zelo dobra'})"
43,0.8485513361462729,"frozenset({'no2-Zelo dobra', 'pm1-Zelo dobra', 'pm25-Zelo dobra'})"
37,0.8485513361462729,"frozenset({'nox-Zelo nizka', 'pm1-Zelo dobra', 'no2-Zelo dobra'})"
14,0.8485513361462729,"frozenset({'pm1-Zelo dobra', 'no2-Zelo dobra'})"
82,0.8485513361462729,"frozenset({'pm1-Zelo dobra', 'pm4-Zelo dobra', 'no2-Zelo dobra', 'nox-Zelo nizka', 'pm25-Zelo dobra'})"
65,0.8485513361462729,"frozenset({'pm1-Zelo dobra', 'no2-Zelo dobra', 'nox-Zelo nizka', 'pm25-Zelo dobra'})"
72,0.8485513361462729,"frozenset({'pm4-Zelo dobra', 'no2-Zelo dobra', 'pm1-Zelo dobra', 'pm25-Zelo dobra'})"
74,0.8032630098452883,"frozenset({'pm1-Zelo dobra', 'pm25-Zelo dobra', 'nox-Zelo nizka', 'pm10-Zelo dobra'})"
75,0.8032630098452883,"frozenset({'pm4-Zelo dobra', 'nox-Zelo nizka', 'pm1-Zelo dobra', 'pm10-Zelo dobra'})"
49,0.8032630098452883,"frozenset({'nox-Zelo nizka', 'pm1-Zelo dobra', 'pm10-Zelo dobra'})"
24,0.8032630098452883,"frozenset({'pm1-Zelo dobra', 'pm10-Zelo dobra'})"
55,0.8032630098452883,"frozenset({'pm25-Zelo dobra', 'pm1-Zelo dobra', 'pm10-Zelo dobra'})"
56,0.8032630098452883,"frozenset({'pm4-Zelo dobra', 'pm1-Zelo dobra', 'pm10-Zelo dobra'})"
85,0.8032630098452883,"frozenset({'pm1-Zelo dobra', 'pm10-Zelo dobra', 'pm4-Zelo dobra', 'nox-Zelo nizka', 'pm25-Zelo dobra'})"
78,0.8032630098452883,"frozenset({'pm4-Zelo dobra', 'pm25-Zelo dobra', 'pm1-Zelo dobra', 'pm10-Zelo dobra'})"
64,0.8016315049226441,"frozenset({'pm1-Zelo dobra', 'no2-Zelo dobra', 'nox-Zelo nizka', 'pm10-Zelo dobra'})"
70,0.8016315049226441,"frozenset({'no2-Zelo dobra', 'pm25-Zelo dobra', 'pm1-Zelo dobra', 'pm10-Zelo dobra'})"
80,0.8016315049226441,"frozenset({'pm1-Zelo dobra', 'pm10-Zelo dobra', 'no2-Zelo dobra', 'nox-Zelo nizka', 'pm25-Zelo dobra'})"
81,0.8016315049226441,"frozenset({'pm1-Zelo dobra', 'pm10-Zelo dobra', 'pm4-Zelo dobra', 'no2-Zelo dobra', 'nox-Zelo nizka'})"
71,0.8016315049226441,"frozenset({'pm4-Zelo dobra', 'no2-Zelo dobra', 'pm1-Zelo dobra', 'pm10-Zelo dobra'})"
84,0.8016315049226441,"frozenset({'pm1-Zelo dobra', 'pm10-Zelo dobra', 'pm4-Zelo dobra', 'no2-Zelo dobra', 'pm25-Zelo dobra'})"
